,senior_citizen,partner,dependents,phone_service,multiple_lines,online_security,online_backup,device_protection,tech_support,streaming_tv,streaming_movies,paperless_billing,churn,gender_Male,gender_Female,internet_service_DSL,internet_service_Fiber_optic,contract_Month_to_month,contract_One_year,contract_Two_year,payment_method_Electronic_check,payment_method_Mailed_check,payment_method_Bank_transfer,payment_method_Credit_card
gender_Male,-0.001873711638260736,-0.0018080796617890207,0.010516611922734079,-0.0064876721362082,-0.008413655871516396,-0.017020796813959464,-0.013773188729006045,-0.002104582651388708,-0.009211760356587686,-0.008392549998357647,-0.010487356300500275,-0.011753691221222193,-0.008612095078997812,1.0,-1.0,0.006567778691102219,-0.011286442720116523,-0.003385945613627135,0.008025643075007388,-0.0036950508034765905,0.0007521807011951512,0.013744173305346243,-0.016023595160041756,0.0012147794729687853
gender_Female,0.001873711638260736,0.0018080796617890207,-0.010516611922734079,0.0064876721362082,0.008413655871516396,0.017020796813959464,0.013773188729006045,0.002104582651388708,0.009211760356587686,0.008392549998357647,0.010487356300500275,0.011753691221222193,0.008612095078997812,-1.0,1.0,-0.006567778691102219,0.011286442720116523,0.003385945613627135,-0.008025643075007388,0.0036950508034765905,-0.0007521807011951512,-0.013744173305346243,0.016023595160041756,-0.0012147794729687853
internet_service_DSL,-0.10832221369858332,-0.0008509247739520922,0.05201034806467352,-0.4524254899613094,-0.19992020935336424,0.32126890794490365,0.15788439397405205,0.14629064131472247,0.31311792686094814,0.016273726794572924,0.025697831994172138,-0.0631210849300409,-0.12421382390260385,0.006567778691102219,-0.006567778691102219,1.0,-0.6409871702805328,-0.06550876072359743,0.046795273572389114,0.031714234510353254,-0.104417598195539,0.04189928198182483,0.025475536146246085,0.05143757263283646
internet_service_Fiber_optic,0.2553377729551278,0.00030366541646425284,-0.16581835875542264,0.2899989345730833,0.36608324961178823,-0.03069571096235291,0.16565089083393225,0.17604889095154472,-0.020492402500577475,0.3293485259115563,0.322922698084827,0.32685324851960446,0.3080197449448228,-0.011286442720116523,0.011286442720116523,-0.6409871702805328,1.0,0.24416415597398566,-0.07632409089469186,-0.21152603536967915,0.33640977802558686,-0.30683412957624784,-0.02262401224386691,-0.050076655450446914
contract_Month_to_month,0.13836046440264252,-0.2808652261083147,-0.2317201661297157,-0.0007424302790416189,-0.0882031323378215,-0.2466788676313616,-0.164172333092541,-0.22566200253940147,-0.2852413102955614,-0.1122824271459316,-0.11663335681857982,0.16909644687222086,0.40510291068798987,-0.003385945613627135,0.003385945613627135,-0.06550876072359743,0.24416415597398566,1.0,-0.5687442811986986,-0.6226334072448414,0.33166148481728,0.004138055475923931,-0.17970688735759904,-0.2041449607569342
contract_One_year,-0.046262442927019434,0.08278330748148327,0.06836848043822015,-0.002790643098632428,-0.0037935880457818515,0.10016245689105224,0.08372237279771902,0.10249519931671587,0.09577473766009484,0.061612433829261244,0.06492603542901962,-0.05139115917344718,-0.17782001834990796,0.008025643075007388,-0.008025643075007388,0.046795273572389114,-0.07632409089469186,-0.5687442811986986,1.0,-0.28950957234145136,-0.10912981441493719,-0.00011622106193566468,0.05745066212990579,0.0675894142068617
contract_Two_year,-0.11700001812504596,0.2480906545375637,0.2046134469477408,0.00351890756850818,0.10625270251960535,0.19177339915202254,0.11139959504621792,0.16509639131423764,0.24082355652920404,0.07204904102061016,0.07395984413698499,-0.14788875031016643,-0.3022534693496506,-0.0036950508034765905,0.0036950508034765905,0.031714234510353254,-0.21152603536967915,-0.6226334072448414,-0.28950957234145136,1.0,-0.28213797709753957,-0.004704962197150815,0.15447149916966943,0.17326485242690454
payment_method_Electronic_check,0.17171777869093657,-0.0838516893627101,-0.15064248847911277,0.0030618298454301216,0.08361817831666886,-0.11233777625407111,-0.00040771587258833634,-0.003350773408871422,-0.11483871499570016,0.14462638547453485,0.1379663754069014,0.20886475546718752,0.30191874901128474,0.0007521807011951512,-0.0007521807011951512,-0.104417598195539,0.33640977802558686,0.33166148481728,-0.10912981441493719,-0.28213797709753957,1.0,-0.3873718709062572,-0.3767621373493149,-0.37332228593657524
payment_method_Mailed_check,-0.1534774904289597,-0.0951248588229323,0.059071012814667215,-0.0033187895436076163,-0.22720630042805826,-0.08079805377720074,-0.17416391693980873,-0.1873734874635507,-0.08550850677032863,-0.2477424236074198,-0.2505954638083169,-0.20539800518883627,-0.09168283858842931,0.013744173305346243,-0.013744173305346243,0.04189928198182483,-0.30683412957624784,0.004138055475923931,-0.00011622106193566468,-0.004704962197150815,-0.3873718709062572,1.0,-0.28868512421143017,-0.28604941899077807
payment_method_Bank_transfer,-0.01615894086219962,0.1107063695247777,0.052020980947400625,0.007556212925145839,0.07552652675123063,0.09515804273500761,0.08700369093869702,0.08311454613206692,0.10125246802180814,0.04625225164274548,0.04865217505038141,-0.01633220352789353,-0.11793667192853861,-0.016023595160041756,0.016023595160041756,0.025475536146246085,-0.02262401224386691,-0.17970688735759904,0.05745066212990579,0.15447149916966943,-0.3767621373493149,-0.28868512421143017,1.0,-0.278214807477789
payment_method_Credit_card,-0.02413537236031893,0.08202919645732606,0.060267000176367116,-0.007721160009099399,0.06004835777743542,0.11572065517555405,0.09078478545256993,0.11155436356101214,0.11727230654467356,0.040433080354261595,0.04857480053298354,-0.013588829059284418,-0.13430175066262848,0.0012147794729687853,-0.0012147794729687853,0.05143757263283646,-0.050076655450446914,-0.2041449607569342,0.0675894142068617,0.17326485242690454,-0.37332228593657524,-0.28604941899077807,-0.278214807477789,1.0
